TC 編號,測試名稱 (Test Name),注入訊號 (AXI4 Signal),注入值/條件,注入時機 (AXI4 Phase/Condition),驗證點/目的,完成度,,,,,預期行為 (Master/Slave Response) 
1. 基本寫入操作 (Basic Write Operations),,,,,,,,,,,
TC_001,TC_Single_Write_OKAY,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x1, AWADDR=0x1000, AWLEN=0x0 (1 beat), AWSIZE=0b010 (4 bytes), AWBURST=0b01 (INCR)。&lt;br>WID=0x1, WDATA=0xDEADBEEF, WSTRB=0xF, WLAST=1。",Master 依序發出 AW Channel 和 W Channel 訊號,驗證 Slave 能正確接收單筆寫入請求，並回覆 OKAY。資料正確寫入指定位址。,,,,,,"Master 行為:&lt;br>1. t0: AWVALID=1, AWID=0x1, AWADDR=0x1000, etc.&lt;br>2. t0: WVALID=1, WID=0x1, WDATA=0xDEADBEEF, WSTRB=0xF, WLAST=1.&lt;br>Slave 行為:&lt;br>1. AWREADY 在 AWVALID 後 0-N clks 拉高 (假設 t1)。&lt;br>2. WREADY 在 WVALID 後 0-N clks 拉高 (假設 t2)。&lt;br>3. 交易完成後 (AWVALID&AWREADY 和 WVALID&WREADY&WLAST 都發生後)，Slave 在 0-M clks 後拉高 BVALID=1，並提供 BID=0x1, BRESP=0b00 (OKAY) (假設 t3)。&lt;br>Master 驗證:&lt;br>1. 收到 BVALID=1, BID=0x1, BRESP=0b00。&lt;br>監控器驗證:&lt;br>1. 0x1000 處的記憶體內容被更新為 0xDEADBEEF。&lt;br>2. 所有 AXI channel handshake 符合協定。"
TC_002,TC_Single_Write_Min_AWSIZE,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x1, AWADDR=0x1004, AWLEN=0x0, AWSIZE=0b000 (1 byte), AWBURST=0b01 (INCR)。&lt;br>WID=0x1, WDATA=0xAB (or 0xXXAB with WSTRB=0x1) , WSTRB=0x1 (byte 0), WLAST=1。",Master 依序發出 AW Channel 和 W Channel 訊號,驗證 Slave 使用最小傳輸粒度時的單筆寫入。,,,,,,"Slave 行為: AWREADY=1, WREADY=1。之後 BVALID=1, BID=0x1, BRESP=0b00 (OKAY)。&lt;br>監控器驗證: 位址 0x1004 的 byte 0 被更新為 0xAB。其他 bytes in 0x1004 (if wider register) 不變 (或依 DUT spec)。"
TC_003,TC_Single_Write_Max_AWSIZE,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x1, AWADDR=0x1008, AWLEN=0x0, AWSIZE=0b010 (4 bytes), AWBURST=0b01 (INCR)。&lt;br>WID=0x1, WDATA=0x12345678, WSTRB=0xF, WLAST=1。",Master 依序發出 AW Channel 和 W Channel 訊號,驗證 Slave 使用最大傳輸粒度時的單筆寫入。,,,,,,"Slave 行為: AWREADY=1, WREADY=1。之後 BVALID=1, BID=0x1, BRESP=0b00 (OKAY)。&lt;br>監控器驗證: 位址 0x1008 的內容被更新為 0x12345678。"
TC_004,TC_Burst_Write_INCR_OKAY,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x2, AWADDR=0x1010, AWLEN=0x3 (4 beats), AWSIZE=0b010 (4 bytes), AWBURST=0b01 (INCR)。&lt;br>Beat 1: WID=0x2, WDATA=0xCAFE0000, WSTRB=0xF, WLAST=0 @ 0x1010&lt;br>Beat 2: WID=0x2, WDATA=0xCAFE0001, WSTRB=0xF, WLAST=0 @ 0x1014&lt;br>Beat 3: WID=0x2, WDATA=0xCAFE0002, WSTRB=0xF, WLAST=0 @ 0x1018&lt;br>Beat 4: WID=0x2, WDATA=0xCAFE0003, WSTRB=0xF, WLAST=1 @ 0x101C",Master 依序發出 AW Channel 和 W Channel (4 beats) 訊號,驗證 Slave 能正確處理 INCR burst 寫入，資料依序寫入遞增位址。,,,,,,"Slave 行為:&lt;br>1. AWREADY=1 回應 AWVALID。&lt;br>2. 對於每個 WDATA beat，WREADY=1 回應 WVALID。&lt;br>3. 所有 beats 完成後，BVALID=1, BID=0x2, BRESP=0b00 (OKAY)。&lt;br>Master 驗證:&lt;br>1. 收到 BVALID=1, BID=0x2, BRESP=0b00。&lt;br>監控器驗證:&lt;br>1. 位址 0x1010 寫入 0xCAFE0000。&lt;br>2. 位址 0x1014 寫入 0xCAFE0001。&lt;br>3. 位址 0x1018 寫入 0xCAFE0002。&lt;br>4. 位址 0x101C 寫入 0xCAFE0003。"
TC_005,TC_Burst_Write_FIXED_OKAY,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x2, AWADDR=0x1020, AWLEN=0x1 (2 beats), AWSIZE=0b001 (2 bytes), AWBURST=0b00 (FIXED)。&lt;br>Beat 1: WID=0x2, WDATA=0xABBA, WSTRB=0x3, WLAST=0 @ 0x1020&lt;br>Beat 2: WID=0x2, WDATA=0xCDDC, WSTRB=0x3, WLAST=1 @ 0x1020",Master 依序發出 AW Channel 和 W Channel (2 beats) 訊號,驗證 Slave 能正確處理 FIXED burst 寫入，所有資料寫入相同位址。,,,,,,"Slave 行為: AWREADY=1。對每個 beat WREADY=1。完成後 BVALID=1, BID=0x2, BRESP=0b00 (OKAY)。&lt;br>監控器驗證: 位址 0x1020 的前 2 bytes 最終為 0xCDDC (或依 Slave 如何處理 동일位址重複寫入)。"
TC_006,TC_Burst_Write_WRAP_OKAY,"AWVALID, AWADDR, AWLEN, AWSIZE, AWBURST, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x2, AWADDR=0x103C, AWLEN=0x3 (4 beats), AWSIZE=0b010 (4 bytes), AWBURST=0b10 (WRAP)。Total size: 4*4=16 bytes.&lt;br>Beat 1: WDATA=D0 @ 0x103C (wrap boundary for 16-byte wrap is 0x1030-0x103F)&lt;br>Beat 2: WDATA=D1 @ 0x1030&lt;br>Beat 3: WDATA=D2 @ 0x1034&lt;br>Beat 4: WDATA=D3 (WLAST=1) @ 0x1038",Master 依序發出 AW Channel 和 W Channel (4 beats) 訊號,驗證 Slave 能正確處理 WRAP burst 寫入，位址按 WRAP 規則變化。,,,,,,"Slave 行為: AWREADY=1。對每個 beat WREADY=1。完成後 BVALID=1, BID=0x2, BRESP=0b00 (OKAY)。&lt;br>監控器驗證: 資料 D0, D1, D2, D3 分別寫入 0x103C, 0x1030, 0x1034, 0x1038。"
TC_007,TC_Write_SLVERR,"AWVALID, AWADDR, AWLEN, AWSIZE, AWID, WVALID, WDATA, WSTRB, WLAST, WID","AWID=0x3, AWADDR=0x1F00 (預設的 SLVERR 觸發位址), AWLEN=0x0, AWSIZE=0b010, AWBURST=0b01 (INCR)。&lt;br>WID=0x3, WDATA=0xBADD0000, WSTRB=0xF, WLAST=1。",Master 發出寫入請求到特定會觸發 SLVERR 的位址,驗證 Slave 在遇到內部錯誤時能正確回覆 SLVERR。,,,,,,"Slave 行為:&lt;br>1. AWREADY=1 回應 AWVALID。&lt;br>2. WREADY=1 回應 WVALID (Slave 可能會接受資料但標記為錯誤，或不實際寫入)。&lt;br>3. BVALID=1, BID=0x3, BRESP=0b10 (SLVERR)。&lt;br>Master 驗證:&lt;br>1. 收到 BVALID=1, BID=0x3, BRESP=0b10。&lt;br>監控器驗證:&lt;br>1. 記憶體位址 0x1F00 的內容未被改變或為不可預期值 (依 DUT 設計)。&lt;br>2. BRESP 為 SLVERR。"
TC_008,TC_Write_DECERR,"AWVALID, AWADDR, AWLEN, AWSIZE, AWID","AWID=0x3, AWADDR=0x2000 (超出 Slave 的 0x1000-0x1FFF 範圍), AWLEN=0x0, AWSIZE=0b010, AWBURST=0b01 (INCR)。W Channel 的訊號可能不會發生或被忽略。",Master 發出寫入請求到 Slave 外部但定址到該 Slave 的無效位址,驗證 Slave (或其外圍 Interconnect) 在遇到無法解碼的位址時能正確回覆 DECERR。,,,,,,"Slave/Interconnect 行為:&lt;br>1. AWREADY=1 (Interconnect 可能接受位址然後才發現無法解碼)。&lt;br>2. W Channel 相關訊號可能不被 Slave 理會。&lt;br>3. BVALID=1, BID=0x3, BRESP=0b11 (DECERR)。&lt;br>監控器驗證: BRESP 為 DECERR。"
2. 基本讀取操作 (Basic Read Operations),,,,,,,,,,,
